FILENAME,ModalName,Name_Agreement_Total,Name_Agreement_Responders,DKO,DKN,Category,Familiarity_Mean,Visual_Complexity_Mean,Objective_Agreement_Mean,Viewpoint_Mean,Manipulability_Mean,H-value
brownsugar,Brown sugar,0.571428571,0.857142857,0.26,0.05,Food,3.512820513,2.642857143,3.71875,3.78125,1.392857143,0.805958493
brusselssprout,brussels sprout,0.282051282,0.305555556,0,0.08,Food,4.333333333,2.333333333,4.0625,3.78125,1.25,2.416802839
bubbleblower,bubbles,0.184210526,0.225806452,0.03,0.11,Gamestoy & entertainment,3.789473684,2.405405405,3.666666667,4.333333333,3.848484848,3.558676151
bucket01a,bucket,0.567567568,0.583333333,0,0,Household article & cleaner,3.948717949,2.025641026,3.666666667,3.606060606,2.454545455,1.759703032
bucket02,Bucket,0.452380952,0.5,0.02,0.07,Hand labour tool & accessory,4.341463415,1.951219512,,,2.088235294,2.577782507
buddhastatue,Buddha,0.452380952,0.452380952,0,0,Decoration & gift accessory,4.19047619,2.904761905,,,2.117647059,1.946826405
buffaloskull,Bull skull,0.30952381,0.419354839,0.07,0.14,Decoration & gift accessory,3.30952381,2.976190476,,,1.352941176,2.950786106
bull,Bull,0.857142857,0.87804878,0,0,Mammal,4.268292683,2.928571429,4.3125,3.3125,2.117647059,0.769325174
bulldozer,Bulldozer,0.404761905,0.485714286,0.02,0.07,Vehicle,4.12195122,3.365853659,,,2.294117647,2.389476152
bullet,bullet,0.928571429,0.928571429,0,0,War related weapon & item,4.071428571,1.714285714,4.0625,3.03125,2.882352941,0.484443934
bulletbelt,Bullets,0.5,0.525,0.02,0.02,War related weapon & item,3.904761905,2.357142857,,,2.382352941,2.528217073
bumpercar,Bumper car,0.833333333,0.897435897,0,0,Vehicle,4.333333333,2.904761905,4,3.21875,2.529411765,0.682199511
bun,Bread,0.285714286,0.285714286,0,0,Food,4.571428571,2.166666667,,,1.941176471,3.486624565
bungeecord02,bungee cord,0.282051282,0.47826087,0.03,0.21,Hand labour tool & accessory,3.631578947,2.263157895,3.96875,3.8125,2.59375,2.78209466
buoy,buoy,0.30952381,0.619047619,0.24,0.21,Building infrastructure,2.8,3.41025641,,,1.40625,1.875145811
bus,Bus,0.571428571,0.571428571,0,0,Vehicle,4.69047619,2.452380952,3.125,3.25,2.294117647,1.85497397
busshelter,Bus shelter,0.404761905,0.414634146,0,0,Building infrastructure,4.69047619,2.047619048,,,2.147058824,2.539488197
bust,Bust,0.30952381,0.333333333,0.02,0.02,Decoration & gift accessory,3.523809524,2.761904762,,,1.558823529,2.483379665
butterdish,butter dish,0.358974359,0.518518519,0.08,0.23,Kitchen & utensil,3.542857143,2.142857143,3.272727273,3.818181818,1.606060606,2.558481246
butterfly,butterfly,0.80952381,0.85,0.02,0.02,Insect,3.976190476,3.095238095,2.6875,2.6875,2.029411765,0.828712492
butterknife,Butter knife,0.261904762,0.407407407,0.19,0.1,Kitchen & utensil,3.725,1.857142857,,,2.142857143,2.520872305
button01,button,0.923076923,1,0,0,Clothing,4.41025641,1.615384615,3.96969697,3.96969697,2.636363636,0
cabasa,shaker,0.095238095,0.333333333,0.26,0.38,Musical instrument,2.7,2.75,,,2.272727273,2.751629167
cabbage,cabbage,0.743589744,0.763157895,0,0,Food,4.324324324,2.72972973,4.484848485,4.515151515,1.636363636,1.023376637
cactus,cactus,0.928571429,0.928571429,0,0,Natural element,4.142857143,2.738095238,2.90625,3.34375,1.852941176,0.436824886
cakeplatter,Cake platter,0.095238095,0.117647059,0,0.17,Kitchen & utensil,3.714285714,2.285714286,,,2.029411765,4.101881223
calculator01,calculator,1,1,0,0,Stationary & school supply,4.333333333,3.128205128,4.090909091,3.03030303,3.03030303,0
calendar,calendar,0.857142857,0.857142857,0,0,Stationary & school supply,4.738095238,1.976190476,3.59375,4.125,2.441176471,0.847741529
callbell,bell,0.785714286,0.804878049,0,0,Stationary & school supply,4.404761905,1.976190476,2.8125,3.1875,3.529411765,1.181457043
camera01a,camera,0.820512821,0.820512821,0,0,Electronic device & accessory,4.512820513,3.435897436,3.848484848,4.03030303,4.454545455,0.92642786
cameracase01a,camera case,0.263157895,0.263157895,0,0,Electronic device & accessory,3.564102564,2.512820513,3.454545455,2.65625,1.787878788,3.264815765
campfire,fire,0.380952381,0.380952381,0,0,Natural element,4.333333333,2.928571429,,,3.088235294,2.466823008
canadiangoose,canadian goose,0.380952381,0.380952381,0,0,Bird,4.166666667,3,,,2.029411765,2.089244662
